    ID 	   time 	 y
0.000000 	 0.000000 	 28.097677
0.000000 	 0.500000 	 41.669561
0.000000 	 1.000000 	 52.016105
0.000000 	 1.500000 	 72.245763
0.000000 	 2.000000 	 86.663299
0.000000 	 2.500000 	 119.984212
0.000000 	 3.000000 	 149.416745
0.000000 	 3.500000 	 167.885626
0.000000 	 4.000000 	 181.642611
0.000000 	 4.500000 	 195.008001
0.000000 	 5.000000 	 216.662660
0.000000 	 5.500000 	 219.111585
0.000000 	 6.000000 	 219.929734
0.000000 	 6.500000 	 221.099491
0.000000 	 7.000000 	 219.582909
0.000000 	 7.500000 	 229.913215
0.000000 	 8.000000 	 219.667623
0.000000 	 8.500000 	 223.536707
0.000000 	 9.000000 	 232.162986
0.000000 	 9.500000 	 219.234427
0.000000 	 10.000000 	 235.689148
1.000000 	 0.000000 	 30.952172
1.000000 	 0.500000 	 46.445536
1.000000 	 1.000000 	 68.198268
1.000000 	 1.500000 	 96.845929
1.000000 	 2.000000 	 124.132454
1.000000 	 2.500000 	 150.648258
1.000000 	 3.000000 	 156.893661
1.000000 	 3.500000 	 172.507246
1.000000 	 4.000000 	 181.999321
1.000000 	 4.500000 	 179.259830
1.000000 	 5.000000 	 196.754658
1.000000 	 5.500000 	 184.261394
1.000000 	 6.000000 	 188.498060
1.000000 	 6.500000 	 199.047160
1.000000 	 7.000000 	 190.110239
1.000000 	 7.500000 	 190.671530
1.000000 	 8.000000 	 197.226705
1.000000 	 8.500000 	 195.236978
1.000000 	 9.000000 	 201.373016
1.000000 	 9.500000 	 184.224932
1.000000 	 10.000000 	 188.862110
2.000000 	 0.000000 	 45.819704
2.000000 	 0.500000 	 63.284542
2.000000 	 1.000000 	 85.262194
2.000000 	 1.500000 	 101.226374
2.000000 	 2.000000 	 133.530768
2.000000 	 2.500000 	 138.878464
2.000000 	 3.000000 	 158.519346
2.000000 	 3.500000 	 159.199406
2.000000 	 4.000000 	 170.350799
2.000000 	 4.500000 	 169.565163
2.000000 	 5.000000 	 174.910236
2.000000 	 5.500000 	 183.331450
2.000000 	 6.000000 	 182.796059
2.000000 	 6.500000 	 181.375164
2.000000 	 7.000000 	 184.073555
2.000000 	 7.500000 	 183.359572
2.000000 	 8.000000 	 184.372421
2.000000 	 8.500000 	 173.953362
2.000000 	 9.000000 	 182.434608
2.000000 	 9.500000 	 191.156018
2.000000 	 10.000000 	 185.309478
3.000000 	 0.000000 	 2.934116
3.000000 	 0.500000 	 3.295861
3.000000 	 1.000000 	 11.187524
3.000000 	 1.500000 	 28.066199
3.000000 	 2.000000 	 25.711986
3.000000 	 2.500000 	 43.177024
3.000000 	 3.000000 	 62.192266
3.000000 	 3.500000 	 83.430811
3.000000 	 4.000000 	 99.466685
3.000000 	 4.500000 	 122.628299
3.000000 	 5.000000 	 136.343962
3.000000 	 5.500000 	 142.279876
3.000000 	 6.000000 	 166.351033
3.000000 	 6.500000 	 167.329646
3.000000 	 7.000000 	 175.804563
3.000000 	 7.500000 	 175.359728
3.000000 	 8.000000 	 172.056610
3.000000 	 8.500000 	 182.653932
3.000000 	 9.000000 	 180.214651
3.000000 	 9.500000 	 164.852193
3.000000 	 10.000000 	 181.682804
4.000000 	 0.000000 	 49.205849
4.000000 	 0.500000 	 57.665161
4.000000 	 1.000000 	 88.391709
4.000000 	 1.500000 	 103.643946
4.000000 	 2.000000 	 135.330798
4.000000 	 2.500000 	 146.575344
4.000000 	 3.000000 	 160.047961
4.000000 	 3.500000 	 161.495074
4.000000 	 4.000000 	 182.666727
4.000000 	 4.500000 	 187.647690
4.000000 	 5.000000 	 186.934314
4.000000 	 5.500000 	 190.438519
4.000000 	 6.000000 	 195.000620
4.000000 	 6.500000 	 195.384496
4.000000 	 7.000000 	 197.667906
4.000000 	 7.500000 	 199.717075
4.000000 	 8.000000 	 202.904244
