### This file contains the generation information for data_advanced.in ###
#############################################################################

### 1. True hyperparameters and latent variables: 
n_individuals: 200
d, data dimensions: 6
sigma: 0.4
d_normal: 2| d_logn: 2| d_logitn: 2
Mean (around which transformed latents are scattered): 
	 [0 1 2 3 4 5]
Omega for latent_i ~ N(mean, Omega): 
	[
	 [1.0, 0.25, 0.0, 0.0, 0.0, 0.0],
	 [0.25, 1.0, 0.0, 0.0, 0.0, 0.0],
	 [0.0, 0.0, 1.0, 0.0, 0.0, 0.0],
	 [0.0, 0.0, 0.0, 1.0, 0.0, 0.0],
	 [0.0, 0.0, 0.0, 0.0, 1.0, 0.0],
	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.5],
	]
---------------------------------------------------------------
All 200 latent variable vectors:
	[1.4475256461601247, -0.18907209130465197, 5.5649685846218215, 23.627443841382085, 0.9918106417751067, 0.9928695249899977]
	[-0.06407880589482251, 0.4582730468850732, 7.958986413327459, 14.83808292091825, 0.9877390078502853, 0.9964573855075031]
	[0.47844512318211685, 1.7726919473892426, 2.522774874046021, 168.8754982998717, 0.9758713773650358, 0.9974352872285877]
	[-1.1652423735807624, 2.0034719306246087, 4.358849304658479, 42.0616032079216, 0.9851948012060882, 0.9939363428523132]
	[-1.0690790453085437, 1.8736373424293864, 7.274566513640461, 29.5433261667329, 0.9673894969022374, 0.9921230744472672]
	[0.17400733124436174, -0.7920908072415422, 1.982384432148133, 12.445119492326475, 0.9777470077679095, 0.9923896965215876]
	[0.5235795222893251, 1.4302789988094737, 3.756376274312787, 99.4663454932443, 0.9777285240027885, 0.9928591704370373]
	[0.7633584661478292, 0.7097691112715969, 4.275069827749172, 8.700461052130047, 0.9932325268772294, 0.9928957940574505]
	[-0.1214633908816456, 3.2775355955990184, 2.833159133049286, 15.199217754411166, 0.9913107915987707, 0.9952433941763473]
	[-0.22500965341114904, 0.9358921100199064, 28.71485116724927, 80.13520731476949, 0.910994041870768, 0.9922199373963982]
	[-0.6896613018563453, 0.9355101915031583, 3.692279793738267, 30.152137923474022, 0.9853717099903194, 0.9977490571626857]
	[0.3126272916952052, 2.4629702775448505, 0.7805081552997505, 13.31383291428064, 0.9922011225717787, 0.9935327557695589]
	[0.05633878704525963, 1.5309046653184932, 13.848026614037256, 4.247288948053603, 0.9954980058569757, 0.9769478451850292]
	[0.8736650169803808, 1.090003478382164, 4.504517860045147, 40.96030958833021, 0.9837334840657485, 0.9953015387156039]
	[-0.8750227002172994, -0.5364355156082046, 6.8635407462600515, 21.16799216290883, 0.994621715735135, 0.9861641500073122]
	[0.15941561306727514, 1.1417893677437052, 5.203836781231251, 24.363526903481464, 0.986314971339018, 0.9866001096546929]
	[2.2621260043601112, 1.8130830995731289, 1.5082665563898199, 18.74730619620019, 0.968319184107244, 0.9965085070302744]
	[-0.615347532588362, 3.446882982802625, 24.984872292916076, 365.7583590383184, 0.9722013613614264, 0.9911105267227397]
	[1.6735027202784265, 2.2828189389757894, 9.596266678240944, 12.546097342436061, 0.9764219042832291, 0.9970657138720915]
	[0.5214804303492793, 1.7138194317227433, 1.36621269244596, 5.3437498808778034, 0.9791614461225421, 0.9983085311738606]
	[-2.211399510963043, -0.765919335368058, 18.318429792043982, 9.663375065096375, 0.996720598893621, 0.9855191638381169]
	[0.24759625535434693, -2.327659809886404, 3.7922258885226134, 80.27428812302396, 0.9931903603669151, 0.9976341585102053]
	[0.30381792141807407, 0.15116257355414153, 6.19400797438052, 11.046422822057867, 0.9912754250621796, 0.9879507728829815]
	[0.5403741165807272, 0.1575252062441821, 6.718435328567308, 10.355316888735347, 0.9791750552271508, 0.9762756808700865]
	[-0.0996438886443036, 1.5172205912722367, 12.301121873181376, 21.33123157445888, 0.9785818765114446, 0.9876332100274702]
	[-0.4252539088362971, 1.0083951607326953, 1.8117504674671852, 15.500129711370677, 0.9811234072098955, 0.9775764062248236]
	[-0.7532924146636624, 2.0196783885469554, 11.088995681911662, 24.945010062813104, 0.9871228920549745, 0.9905376948497572]
	[-0.5556457105404687, -1.0308918853121085, 2.341851795958784, 9.150413448188417, 0.9993816760752664, 0.9956154317753101]
	[0.6134655322876033, 2.1983835691234876, 3.7575268156375743, 33.11743584019423, 0.9937981611556592, 0.9941640850515607]
	[0.507483013389958, 0.4272102670468265, 0.7612673616834081, 11.279990945300016, 0.9961217831829238, 0.9963696628101045]
	[-0.7173824623661671, -0.6224545062845688, 8.37579879027092, 42.451873790006566, 0.9755066276354512, 0.9978701783499582]
	[0.026663243234909928, 0.4668721467993504, 6.051195819103894, 38.043061476835454, 0.9969652687492595, 0.9978436174418219]
	[-0.37508267636406667, 2.733488753704032, 7.4463467473653955, 35.937449788424594, 0.9799099481516187, 0.9921392181048855]
	[-0.11991693810006782, 1.2092699916844662, 6.640231790178311, 12.338107007116427, 0.9753759175576193, 0.9756727439723032]
	[-0.7450782079341535, 1.991435630570735, 24.464421808513755, 54.278956110669846, 0.958420629411513, 0.9925142844349721]
	[-0.03794963754870989, 0.2997552319414507, 5.820763602085417, 28.91767431704628, 0.9829266209985585, 0.9949997183732379]
	[0.45622124426487426, -0.23394791125153946, 9.67273858586433, 7.774772341461349, 0.9666041102282873, 0.9944073037191328]
	[1.1296089276718475, 2.180000896743267, 22.78973249565581, 22.492090502248196, 0.8767121399204306, 0.9749452445970089]
	[1.9385624666738568, 2.708103761458995, 8.309690779210923, 39.71508818746092, 0.9065489665930415, 0.9957494161295439]
	[0.9766583836721348, 1.03109419551186, 25.86421871307099, 24.8242201699886, 0.9911628990096368, 0.9978314991862007]
	[0.24922039840348723, 0.8302504990915223, 27.84466727489029, 9.233140069639473, 0.9952835956067488, 0.9951681181601273]
	[0.5077473977970569, -0.20059767171142173, 4.563455461553455, 16.511241664551548, 0.9280357516293671, 0.9852894657103487]
	[0.2634409034581128, 1.0141439617174213, 12.287861556433144, 51.515828737121495, 0.9846553199170665, 0.9894330314143623]
	[-1.2425644964349227, 1.0873475146464724, 12.390860354790364, 2.0741273900045183, 0.9823151744013768, 0.9948727569718459]
	[-0.6968129200072557, 0.6843019843707182, 5.082244441509856, 9.840219700024647, 0.985975981915457, 0.9971026763106225]
	[0.5233471890689534, 1.1191685261680253, 58.55378726299845, 21.120121383457622, 0.9513552614903916, 0.9966988050213071]
	[0.6692257668226537, 2.3319918764818457, 6.6464353559379425, 91.9302013088387, 0.9934657305122748, 0.998230663781143]
	[-0.17413336700748383, 1.463933814271074, 3.9688724883057045, 32.40512932198589, 0.9875254120286092, 0.984205039850868]
	[-0.3633550534060146, -1.4768732679217478, 8.58970426968292, 8.403249779875592, 0.990247545094546, 0.9954360704660821]
